Item,Transaction,Kuantitas
SPREI HOME UK 160 & 180,1,1
KURSI SUSAN,1,1
KERANJANG POPOK BAYI,2,1
NAMPAN 4 SEDENG,1,1
CUTER TRANSPARAN,1,3
TABLET LCD,2,1
WAFER TANGO,3,1
WAFER TANGO,1,1
JEMURAN LIPAT NAGATO,1,1
MANTEL HARMONY JAKET CELANA,2,1
BONEKA BOBA LED XL,1,1
WAJAN PIZZA,1,1
KARPET SPONS MURAH,1,1
DIPAN SULTAN,1,1
LEM DEXTON BOTOL,2,1
TREMOS INDOGLASS 500ML,1,1
CANGKIR PLASTIK JAGO 6PCS,1,1
SAMBUNGAN KRAN,2,1
PANGGANGAN LIPAT,1,1
FRYPAN 3288,1,1
TABLET LCD,1,1
TABLET LCD,1,1
CUTER TRANSPARAN,2,1
SAPU DUK BINTANG,1,1
TABLET LCD,1,1
RACUN CICAK,1,1
KURSI SUSAN,1,1
STIKER MOMO,2,1
MAGICOM VOTRE 1.2L,3,1
MASKER DUCKBIL ANAK,4,1
CATOKAN NOVA,5,1
KURSI TERAS ROTAN,6,1
REGULATOR QUANTUM+PANDOM,1,1
MAWAR LAUNDRY REFILL,1,1
KARPET SPONS MURAH,1,17
TEMPAT SABUN PASIFIK,2,2
TENDA 2 PINTU,1,1
RAK PIRING RPK 2SSN,1,1
CUTER TRANSPARAN,2,1
TEKO SIUL MASPION 26,3,1
TAMPAH MURAH UK 40,4,1
CUTER TRANSPARAN,1,1
JAM DINDING ANGKA,2,1
PIRING LUCKY COKLAT,1,1
MAWAR LAUNDRY REFILL,1,1
MANTEL POLKADOT DOLPHIN,2,1
JEMURAN ALUMINIUM STANDART WARNA,3,2
PISAU SULTAN,1,1
TALENAN KAYU KCL,2,1
MANTEL PONCO AURORA,3,1
TABLET LCD,4,1
MAINAN TARIK,1,1
BATU BATRAI DYNAMAX,2,1
LEMARI ACTIV KACA MASUK 3P,1,1
RACUN CICAK,2,1
PIRING ROTAN PLASTIK,1,1
RACUN CICAK,2,2
CLUNNY SET,3,1
BOX CB 128,1,1
SETRIKA UAP,2,1
TEKO SET JAGO,1,1
SPREI HOME UK 160 & 180,2,1
PISAU SULTAN,3,1
BOTOL MINUM 750ML SL,4,2
CUTER TRANSPARAN,1,1
SIRUP ABC DUS,2,1
CUTER TRANSPARAN,1,1
KOMPOR RINNAI 511C,1,1
REGULATOR DESTEC PANDOM METER,2,1
LEMARI 3 P GALFANIS ANAK,1,1
TABLET LCD,2,1
LEMARI LS2P KACA,3,1
KRUPUK KENTANG DUS,1,1
TIRAI MAGNET ANTI NYAMUK,2,2
TEMPAT TISU KOTAK PANJANG,1,1
TEMPAT TISU KOTAK PANJANG,1,1
PAYUNG PELANGI JUMBO,2,1
KERANJANG PAJERO WARNA,3,1
BOTOL MINUM 750ML SL,4,1
BATANG KORDEN 1.5M,5,1
BATANG KORDEN 1M,6,3
PANCI EAGLE 33 SARANGAN,7,2
KORDEN SMOKRING,1,6
BATANG KORDEN 1.5M,2,3
TREMOS ELEPHANT,1,1
BOTOL KACA KAKTUS,1,2
TABLET LCD,1,1
TABLET LCD,1,1
TEFLON GSF 22CM,2,1
MAWAR LAUNDRY REFILL,1,1
WALLPAPER DAPUR 5M,1,1
MEJA BELAJAR IMPOR KARAKTER,1,14
KERANJANG PAJERO WARNA,1,2
MANTEL ELMONDO ANAK,1,1
LEMARI LS2P KACA,2,1
LEMARI PLASTICO 4SSN,1,1
KIPAS COSMOS 16 SKM,1,1
TREMOS ELEPHANT,1,2
SENDOK/GARPU BATIK,2,3
SPREI MY LOVE 180 30CM,3,1
